DATE,ITEM TYPE,TOTAL SALES
2017-06-01,BEER,354056.2
2017-06-01,KEGS,6236.0
2017-06-01,LIQUOR,39401.99
2017-06-01,NON-ALCOHOL,2552.98
2017-06-01,WINE,80831.1
2017-07-01,BEER,298564.99
2017-07-01,KEGS,5229.0
2017-07-01,LIQUOR,36653.71
2017-07-01,NON-ALCOHOL,2307.11
2017-07-01,WINE,72441.5
2017-08-01,BEER,352402.02
2017-08-01,KEGS,6163.0
2017-08-01,LIQUOR,36026.47
2017-08-01,NON-ALCOHOL,2313.0299999999997
2017-08-01,WINE,78941.07
2017-09-01,BEER,282172.99
2017-09-01,KEGS,5354.0
2017-09-01,LIQUOR,35842.75
2017-09-01,NON-ALCOHOL,1995.28
2017-09-01,WINE,76446.59
2017-10-01,BEER,277575.39
2017-10-01,KEGS,5522.0
2017-10-01,LIQUOR,36151.43
2017-10-01,NON-ALCOHOL,1995.55
2017-10-01,WINE,79533.3
2017-11-01,BEER,302831.27
2017-11-01,KEGS,5663.0
2017-11-01,LIQUOR,39371.33
2017-11-01,NON-ALCOHOL,2110.36
2017-11-01,WINE,95216.73
2017-12-01,BEER,279326.48
2017-12-01,KEGS,4834.0
2017-12-01,LIQUOR,52941.79
2017-12-01,NON-ALCOHOL,2262.19
2017-12-01,WINE,105438.42
2018-01-01,BEER,225718.22
2018-01-01,KEGS,5065.0
2018-01-01,LIQUOR,31911.8
2018-01-01,NON-ALCOHOL,1809.96
2018-01-01,WINE,71438.86
2018-02-01,BEER,235227.99
2018-02-01,KEGS,4721.0
2018-02-01,LIQUOR,32164.16
2018-02-01,NON-ALCOHOL,1727.34
2018-02-01,WINE,73740.88
2019-01-01,BEER,249315.2
2019-01-01,KEGS,4573.0
2019-01-01,LIQUOR,33140.12
2019-01-01,NON-ALCOHOL,1992.07
2019-01-01,WINE,73807.69
2019-02-01,BEER,219495.41
2019-02-01,KEGS,4435.0
2019-02-01,LIQUOR,33421.43
2019-02-01,NON-ALCOHOL,1863.43
2019-02-01,WINE,74362.3
2019-03-01,BEER,260583.3
2019-03-01,KEGS,5600.0
2019-03-01,LIQUOR,36653.08
2019-03-01,NON-ALCOHOL,2130.88
2019-03-01,WINE,78316.54
2019-04-01,BEER,266993.66
2019-04-01,KEGS,5217.0
2019-04-01,LIQUOR,34203.73
2019-04-01,NON-ALCOHOL,2005.27
2019-04-01,WINE,76638.46
2019-05-01,BEER,349431.46
2019-05-01,KEGS,5860.0
2019-05-01,LIQUOR,39991.64
2019-05-01,NON-ALCOHOL,2557.68
2019-05-01,WINE,86360.29
2019-06-01,BEER,321406.58
2019-06-01,KEGS,5358.0
2019-06-01,LIQUOR,38519.35
2019-06-01,NON-ALCOHOL,2416.08
2019-06-01,WINE,74628.3
2019-07-01,BEER,351239.19
2019-07-01,KEGS,5355.0
2019-07-01,LIQUOR,37626.2
2019-07-01,NON-ALCOHOL,2684.42
2019-07-01,WINE,74810.54
2019-08-01,BEER,331308.41
2019-08-01,KEGS,5267.0
2019-08-01,LIQUOR,38126.28
2019-08-01,NON-ALCOHOL,2554.28
2019-08-01,WINE,75881.62
2019-09-01,BEER,293017.22
2019-09-01,KEGS,4951.0
2019-09-01,LIQUOR,34502.2
2019-09-01,NON-ALCOHOL,2020.25
2019-09-01,WINE,70966.39
2019-10-01,BEER,312170.69
2019-10-01,KEGS,5650.0
2019-10-01,LIQUOR,38252.64
2019-10-01,NON-ALCOHOL,2875.31
2019-10-01,WINE,85402.59
2019-11-01,BEER,268605.3
2019-11-01,KEGS,4811.0
2019-11-01,LIQUOR,42121.38
2019-11-01,NON-ALCOHOL,3017.9700000000003
2019-11-01,WINE,87253.07
2020-01-01,BEER,249756.09
2020-01-01,KEGS,5200.0
2020-01-01,LIQUOR,33848.44
2020-01-01,NON-ALCOHOL,2547.48
2020-01-01,WINE,73249.03
2020-03-01,BEER,294457.89
2020-03-01,KEGS,2610.0
2020-03-01,LIQUOR,43103.87
2020-03-01,NON-ALCOHOL,3097.0299999999997
2020-03-01,WINE,86326.87
2020-07-01,BEER,392405.51
2020-07-01,KEGS,2096.0
2020-07-01,LIQUOR,38480.87
2020-07-01,NON-ALCOHOL,5839.32
2020-07-01,WINE,76153.28
2020-09-01,BEER,333395.65
2020-09-01,KEGS,2661.0
2020-09-01,LIQUOR,35141.04
2020-09-01,NON-ALCOHOL,3558.63
2020-09-01,WINE,75298.08
2026-06-01,BEER,291745.22000000003
2026-06-01,KEGS,4168.0
2026-06-01,LIQUOR,53635.26
2026-06-01,NON-ALCOHOL,7710.15
2026-06-01,WINE,58886.43
2026-07-01,BEER,273404.2
2026-07-01,KEGS,3882.0
2026-07-01,LIQUOR,51930.83
2026-07-01,NON-ALCOHOL,7786.82
2026-07-01,WINE,56063.32
