ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,DATE,TOTAL_SALES
100002,PATRON TEQUILA SILVER LTD - 1L,LIQUOR,2017-07-01,0.17
100007,LA CETTO CAB SAUV - 750ML,WINE,2019-04-01,1.0
100007,LA CETTO CAB SAUV - 750ML,WINE,2019-05-01,1.0
100007,LA CETTO CAB SAUV - 750ML,WINE,2019-10-01,1.0
100007,LA CETTO CAB SAUV - 750ML,WINE,2019-11-01,1.0
100008,AMITY VINEYARDS P/NOIR 2013 - 750ML,WINE,2017-06-01,0.0
100008,AMITY VINEYARDS P/NOIR 2013 - 750ML,WINE,2017-07-01,2.0
100008,AMITY VINEYARDS P/NOIR 2013 - 750ML,WINE,2017-10-01,1.0
100009,BOOTLEG RED - 750ML,WINE,2017-11-01,1.0
100009,BOOTLEG RED - 750ML,WINE,2017-12-01,1.0
100009,BOOTLEG RED - 750ML,WINE,2018-01-01,1.0
100009,BOOTLEG RED - 750ML,WINE,2018-02-01,9.0
100009,BOOTLEG RED - 750ML,WINE,2019-01-01,0.08
100009,BOOTLEG RED - 750ML,WINE,2019-02-01,1.41
100009,BOOTLEG RED - 750ML,WINE,2019-04-01,1.83
100009,BOOTLEG RED - 750ML,WINE,2019-07-01,0.08
100009,BOOTLEG RED - 750ML,WINE,2019-09-01,0.08
100009,BOOTLEG RED - 750ML,WINE,2019-11-01,1.08
100009,BOOTLEG RED - 750ML,WINE,2020-01-01,2.0
100009,BOOTLEG RED - 750ML,WINE,2020-07-01,1.08
100009,BOOTLEG RED - 750ML,WINE,2020-09-01,0.08
100011,PAPI P/GRIG - 1.5L,WINE,2017-11-01,1.0
100011,PAPI P/GRIG - 1.5L,WINE,2019-04-01,1.0
100011,PAPI P/GRIG - 1.5L,WINE,2019-10-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2017-06-01,6.0
100012,PAPI P/GRIG - 750ML,WINE,2017-07-01,2.0
100012,PAPI P/GRIG - 750ML,WINE,2017-08-01,5.0
100012,PAPI P/GRIG - 750ML,WINE,2017-11-01,2.0
100012,PAPI P/GRIG - 750ML,WINE,2017-12-01,-1.0
100012,PAPI P/GRIG - 750ML,WINE,2018-01-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2018-02-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2019-01-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2019-02-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2019-03-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2019-04-01,6.0
100012,PAPI P/GRIG - 750ML,WINE,2019-05-01,3.0
100012,PAPI P/GRIG - 750ML,WINE,2019-06-01,3.0
100012,PAPI P/GRIG - 750ML,WINE,2019-07-01,8.0
100012,PAPI P/GRIG - 750ML,WINE,2019-08-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2019-10-01,1.0
100012,PAPI P/GRIG - 750ML,WINE,2019-11-01,2.0
100022,CH SAINCRIT CLASSIQUE BORDEAUX - 750ML,WINE,2019-02-01,1.0
100022,CH SAINCRIT CLASSIQUE BORDEAUX - 750ML,WINE,2019-03-01,1.0
100022,CH SAINCRIT CLASSIQUE BORDEAUX - 750ML,WINE,2019-08-01,1.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-01-01,1.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-03-01,3.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-04-01,7.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-05-01,3.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-06-01,4.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-07-01,4.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-08-01,2.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-09-01,1.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-10-01,1.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2019-11-01,2.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2020-03-01,2.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2020-07-01,4.0
100023,CH PARADIS-TERRE DES ANGES ROSE,WINE,2020-09-01,2.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-01-01,2.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-02-01,1.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-03-01,23.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-04-01,11.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-05-01,18.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-06-01,30.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-07-01,18.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-08-01,21.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-09-01,17.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-10-01,8.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2019-11-01,2.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2020-01-01,4.0
100024,MOMENT DE PLAISIR - 750ML,WINE,2020-03-01,11.07
100024,MOMENT DE PLAISIR - 750ML,WINE,2020-07-01,18.34
100024,MOMENT DE PLAISIR - 750ML,WINE,2020-09-01,10.4
100024,MOMENT DE PLAISIR - 750ML,WINE,2026-06-01,27.64
100024,MOMENT DE PLAISIR - 750ML,WINE,2026-07-01,22.81
100038,SEEDLIP NOTAS DE AGAVE- 700ML -  NA,NON-ALCOHOL,2026-06-01,0.17
100038,SEEDLIP NOTAS DE AGAVE- 700ML -  NA,NON-ALCOHOL,2026-07-01,0.34
10004,ANYWHERE CELLARS ROSE,WINE,2017-06-01,1.0
100044,CHURCH STREET ALPHA OMEGA RYE - 750ML,LIQUOR,2026-07-01,0.17
100046,CHURCH STREET TEMPUS GIN  - 750ML,LIQUOR,2026-07-01,0.51
100048,ORIN SWIFT ADVICE FROM JOHN MERLOT - 750ML,WINE,2026-06-01,1.0
100064,PENFOLDS MAXS CAB - 750ML,WINE,2026-06-01,1.0
100069,BAREFOOT CAB - 200ML - 4PK,WINE,2026-06-01,6.0
100069,BAREFOOT CAB - 200ML - 4PK,WINE,2026-07-01,1.0
100070,BAREFOOT P/GRIG  - 200ML - 4PK,WINE,2026-06-01,6.0
100079,GAVI BINE 11 DRY WHITE ORGANIC  - 750ML,WINE,2026-07-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2017-08-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2017-09-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2017-11-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2017-12-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2018-01-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2019-01-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2019-03-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2019-04-01,1.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2019-05-01,2.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2019-09-01,3.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2020-03-01,3.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2020-09-01,3.0
100080,KEDEM CREAM RED CONCORD - 750ML,WINE,2026-06-01,5.0
100081,MICHELANGEO SPUMANTE BRUT - 750ML,WINE,2026-06-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2017-08-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2017-09-01,2.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2017-10-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2017-11-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2017-12-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2018-01-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2018-02-01,2.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-01-01,2.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-02-01,4.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-03-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-04-01,1.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-05-01,1.25
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-06-01,3.24
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-07-01,6.24
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-08-01,1.08
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-09-01,3.16
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-10-01,3.0
1001,SAM SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2019-11-01,1.0
1001,S SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2020-01-01,1.0
1001,S SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2020-03-01,1.0
1001,S SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2020-07-01,3.0
1001,S SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2020-09-01,2.0
1001,S SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,2026-07-01,3.0
10014,SAM SMITH GIFT PACK W/ GLASS - 18.7OZ,BEER,2017-10-01,3.25
10014,SAM SMITH GIFT PACK W/ GLASS - 18.7OZ,BEER,2017-11-01,6.25
10014,SAM SMITH GIFT PACK W/ GLASS - 18.7OZ,BEER,2017-12-01,4.5
10014,SAM SMITH GIFT PACK W/ GLASS - 18.7OZ,BEER,2019-01-01,1.0
10014,SAM SMITH GIFT PACK W/ GLASS - 18.7OZ,BEER,2019-10-01,3.0
10014,SAM SMITH GIFT PACK W/ GLASS - 18.7OZ,BEER,2019-11-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2017-06-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2017-10-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2017-11-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2019-02-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2019-07-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2019-11-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2020-01-01,1.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2020-07-01,2.0
100145,SCHLINK HAUS KABINETT - 750ML,WINE,2020-09-01,2.0
1002,TRAQUAIR JACOBITE ALE - 16.9OZ,BEER,2017-08-01,1.0
1002,TRAQUAIR JACOBITE ALE - 16.9OZ,BEER,2019-10-01,1.0
1002,TRAQUAIR JACOBITE ALE - 16.9OZ,BEER,2019-11-01,1.0
100200,GAMLA CAB - 750ML,WINE,2017-06-01,0.08
