ITEM CODE,ITEM DESCRIPTION,MODEL,MAE,RMSE,MAPE
23445,CORONA EXTRA LOOSE NR - 12OZ,Naive Seasonal,4133.973333333332,7167.314155432749,33.33333333333333
23445,CORONA EXTRA LOOSE NR - 12OZ,Holt-Winters,3966.1046475976477,6896.423813597745,31.916834705916774
23445,CORONA EXTRA LOOSE NR - 12OZ,SARIMA,3860.967312047998,6713.448081238091,31.071125379613466
96750,CORONA EXTRA 2/12 NR - 12OZ,Naive Seasonal,2697.1116666666667,4672.423138995083,33.33333333333333
96750,CORONA EXTRA 2/12 NR - 12OZ,Holt-Winters,2488.429555880684,4326.926475651388,30.712855504440117
96750,CORONA EXTRA 2/12 NR - 12OZ,SARIMA,2535.2524885334897,4329.603752310019,3910.212899275949
23886,HEINEKEN LOOSE NR - 12OZ,Naive Seasonal,1800.4650000000001,3118.50379680438,33.33333333333333
23886,HEINEKEN LOOSE NR - 12OZ,Holt-Winters,1699.997248626327,2950.0146076369915,31.46936763066779
23886,HEINEKEN LOOSE NR - 12OZ,SARIMA,1689.8059077865412,2885.915157243588,2612.3900195307006
96970,HEINEKEN 2/12 NR - 12OZ,Naive Seasonal,1503.2916666666667,2606.011945562926,33.33333333333333
96970,HEINEKEN 2/12 NR - 12OZ,Holt-Winters,1335.5703671312301,2347.330933324148,29.453590110214282
96970,HEINEKEN 2/12 NR - 12OZ,SARIMA,1335.7019692822844,2263.4836876930985,3647.0965998130046
90590,MILLER LITE 30PK CAN - 12OZ,Naive Seasonal,1595.1449999999998,2769.813727699031,33.33333333333333
90590,MILLER LITE 30PK CAN - 12OZ,Holt-Winters,1595.1449999999998,2769.813727699031,33.33333333333333
90590,MILLER LITE 30PK CAN - 12OZ,SARIMA,1595.1449999999998,2769.813727699031,33.33333333333333
96741,CORONA EXTRA 4/6 NR - 12OZ,Naive Seasonal,1382.4833333333333,2396.066199203742,33.33333333333333
96741,CORONA EXTRA 4/6 NR - 12OZ,Holt-Winters,1352.1850034853514,2346.1285905419054,32.575672412837555
96741,CORONA EXTRA 4/6 NR - 12OZ,SARIMA,1325.7349993272246,2299.707707257483,277.96012302219407
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Naive Seasonal,2662.633333333333,4612.408464508176,33.33333333333333
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,Holt-Winters,2548.5863353940804,4422.619214173299,31.8823315630868
25883,MODELO ESPECIAL 24 LOOSE NR - 12OZ,SARIMA,2563.870188590379,4446.925269742469,32.078033176294376
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Naive Seasonal,3327.4799999999996,5780.264237155022,33.33333333333333
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,Holt-Winters,3242.9114367355664,5611.188270532905,2101.255054913825
95800,MODELO ESPECIAL-2/12 CAN - 12OZ,SARIMA,3259.96242823736,5616.970480189516,3416.180849255948
90468,BUD LIGHT 30PK CAN,Naive Seasonal,700.1233333333333,1213.7968112359938,33.33333333333333
90468,BUD LIGHT 30PK CAN,Holt-Winters,688.8576215959965,1195.3239070287368,32.77256280229819
90468,BUD LIGHT 30PK CAN,SARIMA,678.0191491868969,1177.888357637519,32.233058857037705
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Naive Seasonal,2989.133333333333,5177.34296956782,33.33333333333333
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,Holt-Winters,2894.997387199475,5001.715471370916,921.9531767412523
23777,MODELO ESPECIAL SUITCASE CANS - 12OZ,SARIMA,2915.7545529390572,5031.309471445734,1237.3550037551058
96083,HEINEKEN 4/6 NR - 12OZ,Naive Seasonal,942.7016666666667,1633.5743680704184,33.33333333333333
96083,HEINEKEN 4/6 NR - 12OZ,Holt-Winters,930.4230831386903,1613.1177204191265,32.885438698184274
96083,HEINEKEN 4/6 NR - 12OZ,SARIMA,904.5341528352504,1570.9999764017205,31.941069751535125
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Naive Seasonal,1816.5833333333333,3147.9137602016144,33.33333333333333
99198,MODELO ESPECIAL 2/12 NR - 12OZ,Holt-Winters,1692.9881303027425,2942.0321763452953,101.8424377809423
99198,MODELO ESPECIAL 2/12 NR - 12OZ,SARIMA,1734.562749773307,2942.0085145938124,4178.347468602749
23314,CORONA EXTRA 18PK NR - 12OZ,Naive Seasonal,1015.3883333333333,1760.049384198258,33.33333333333333
23314,CORONA EXTRA 18PK NR - 12OZ,Holt-Winters,988.3535560133528,1715.7789844539843,32.4096989869042
23314,CORONA EXTRA 18PK NR - 12OZ,SARIMA,1003.5720493050885,1732.4924442566096,526.4666758374178
91170,COORS LT 30PK CAN - 12OZ,Naive Seasonal,1193.9666666666667,2073.2818123287857,33.33333333333333
91170,COORS LT 30PK CAN - 12OZ,Holt-Winters,1193.9666666666667,2073.2818123287857,33.33333333333333
91170,COORS LT 30PK CAN - 12OZ,SARIMA,1193.9666666666667,2073.2818123287857,33.33333333333333
23318,MODELO ESPECIAL 18PK CAN - 12OZ,Naive Seasonal,1580.8433333333335,2832.280372291322,33.33333333333333
23318,MODELO ESPECIAL 18PK CAN - 12OZ,Holt-Winters,1592.1718903020017,2819.4642666052005,1787.3148513565372
23318,MODELO ESPECIAL 18PK CAN - 12OZ,SARIMA,1591.1849954068311,2832.393653275145,1067.4995406831215
